,degrees,counts
0,0,50037
1,1,4487719
2,2,1032701
3,3,443798
4,4,244379
5,5,153693
6,6,104749
7,7,74912
8,8,57019
9,9,43967
10,10,35298
11,11,28742
12,12,23664
13,13,20030
14,14,16842
15,15,14658
16,16,12231
17,17,10658
18,18,9744
19,19,8166
20,20,7448
21,21,6280
22,22,6150
23,23,5348
24,24,4144
25,25,3309
26,26,2993
27,27,3162
28,28,2436
29,29,1991
30,30,2016
31,31,1614
32,32,1844
33,33,1575
34,34,1163
35,35,1420
36,36,1163
37,37,1476
38,38,743
39,39,838
40,40,633
41,41,719
42,42,733
43,43,987
44,44,404
45,45,653
46,46,460
47,47,446
48,48,331
49,49,330
50,50,271
51,51,293
52,52,315
53,53,295
54,54,328
55,55,186
56,56,305
57,57,510
58,58,194
59,59,1437
